host_phylum	host_class	host_order	host_family
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Araneae	Theridiidae
Arthropoda	Insecta	Diptera	Musicidae
Arthropoda	Insecta	Diptera	Unknown
Arthropoda	Insecta	Unknown	Unknown
Arthropoda	Insecta	Neuroptera	Chrysopidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Insecta	Thysanoptera	Thripidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Platyhelminthes	Cestoda	Diphyllobothriidea	Diphyllobothriidae
Chordata	Lepidosauria	Squamata	Boidae
Arthropoda	Insecta	Diptera	Culicidae
Arthropoda	Insecta	Coleoptera	Lampyridae
Chordata	Lepidosauria	Squamata	Colubridae
Chordata	Actinopterygii	Perciformes	Hoplichthyidae
Chordata	Actinopterygii	Perciformes	Hoplichthyidae
Arthropoda	Malacostraca	Decapoda	Portunidae
Arthropoda	Insecta	Hemiptera	Cicadellidae
Arthropoda	Malacostraca	Decapoda	Portunidae
Arthropoda	Malacostraca	Decapoda	Portunidae
Arthropoda	Insecta	Diptera	Hippoboscidae
Arthropoda	Insecta	Diptera	Hippoboscidae
Arthropoda	Insecta	Diptera	Culicidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Insecta	Unknown	Unknown
Arthropoda	Insecta	Unknown	Unknown
Arthropoda	Arachnida	Araneae	Tetragnathidae
Arthropoda	Unknown	Unknown	Unknown
Arthropoda	Unknown	Unknown	Unknown
Arthropoda	Insecta	Unknown	Unknown
Arthropoda	Unknown	Unknown	Unknown
Arthropoda	Unknown	Unknown	Unknown
Arthropoda	Unknown	Unknown	Unknown
Arthropoda	Unknown	Unknown	Unknown
Arthropoda	Unknown	Unknown	Unknown
Nematoda	Unknown	Unknown	Unknown
Arthropoda	Unknown	Unknown	Unknown
Arthropoda	Unknown	Unknown	Unknown
Arthropoda	Insecta	Unknown	Unknown
Arthropoda	Insecta	Diptera	Culicidae
Arthropoda	Insecta	Diptera	Culicidae
Arthropoda	Insecta	Diptera	Culicidae
Arthropoda	Insecta	Diptera	Culicidae
Arthropoda	Insecta	Diptera	Culicidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Argasidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Malacostraca	Decapoda	Portunidae
Arthropoda	Malacostraca	Decapoda	Portunidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Insecta	Diptera	Hippoboscidae
Arthropoda	Insecta	Neuroptera	Chrysopidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Insecta	Diptera	Hippoboscidae
Arthropoda	Insecta	Diptera	Culicidae
Arthropoda	Insecta	Diptera	Musicidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Insecta	Diptera	Drosophilidae 
Arthropoda	Insecta	Diptera	Drosophilidae 
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Insecta	Diptera	Culicidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Arachnida	Ixodida	Ixodidae
Arthropoda	Insecta	Coleoptera	Chrysomelidae
Arthropoda	Insecta	Megaloptera	Sialidae
Arthropoda	Insecta	Orthoptera	Tetrigidae
Arthropoda	Insecta	Blattodea	Blattidae
Arthropoda	Insecta	Megaloptera	Corydalidae
Arthropoda	Insecta	Hymenoptera	Megachilidae
Arthropoda	Insecta	Hymenoptera	Crabronidae
Arthropoda	Insecta	Hemiptera	Belostomatidae
Arthropoda	Insecta	Neuroptera	Mantispidae
Arthropoda	Insecta	Hemiptera	Aleyrodidae
Arthropoda	Insecta	Hemiptera	Triozidae
Arthropoda	Insecta	Hymenoptera	Diapriidae
Arthropoda	Insecta	Coleoptera	Curculionidae
Arthropoda	Insecta	Phasmatodea	Phasmatidae
Arthropoda	Insecta	Hymenoptera	Megachilidae
Arthropoda	Insecta	Notoptera	Grylloblattidae
Arthropoda	Insecta	Orthoptera	Pyrgomorphidae
Arthropoda	Insecta	Hymenoptera	Aphelinidae
Arthropoda	Insecta	Phasmatodea	Aschiphasmatidae
Arthropoda	Insecta	Hymenoptera	Megachilidae
Arthropoda	Insecta	Dermaptera	Anisolabididae
Arthropoda	Insecta	Hymenoptera	Apidae
Chordata	Mammalia	Chiroptera	Emballonuridae
Arthropoda	Insecta	Thysanoptera	Thripidae
Arthropoda	Insecta	Thysanoptera	Thripidae
Arthropoda	Insecta	Thysanoptera	Thripidae
Arthropoda	Insecta	Thysanoptera	Thripidae
Arthropoda	Insecta	Thysanoptera	Thripidae
Arthropoda	Insecta	Thysanoptera	Thripidae
Arthropoda	Insecta	Thysanoptera	Thripidae
